number,match_id,match_date,stage_label,home_team_name,away_team_name,match,predicted_score,predicted_sign,predicted_result,probability_home,probability_draw,probability_away,actual_score_90,actual_sign,actual_result_90,sign_correct,exact_score,after_90_note,evaluation
14,WC-2026-038,2026-06-15,Grupos,Iran,New Zealand,Iran — New Zealand,0–0,X,Empate,0.2586504026693452,0.3862054022672691,0.3551441950633858,2–2,X,Empate,True,False,,Signo acertado
15,WC-2026-043,2026-06-15,Grupos,Cape Verde,Spain,Cape Verde — Spain,0–1,2,Gana Spain,0.0751944463598429,0.2340394930770433,0.6907660605631137,0–0,X,Empate,False,False,,Signo fallado
16,WC-2026-044,2026-06-15,Grupos,Saudi Arabia,Uruguay,Saudi Arabia — Uruguay,0–1,2,Gana Uruguay,0.1360980892547074,0.3098384573423613,0.5540634534029312,1–1,X,Empate,False,False,,Signo fallado
17,WC-2026-049,2026-06-16,Grupos,France,Senegal,France — Senegal,0–0,X,Empate,0.3736033886623411,0.40889908514902,0.2174975261886388,3–1,1,Gana France,False,False,,Signo fallado
18,WC-2026-050,2026-06-16,Grupos,Iraq,Norway,Iraq — Norway,0–1,2,Gana Norway,0.1351532026031532,0.2738468884372099,0.5909999089596369,1–4,2,Gana Norway,True,False,,Signo acertado
19,WC-2026-055,2026-06-16,Grupos,Argentina,Algeria,Argentina — Algeria,0–0,1,Gana Argentina,0.4453007209474487,0.3736993612831606,0.1809999177693907,3–0,1,Gana Argentina,True,False,,Signo acertado
20,WC-2026-056,2026-06-16,Grupos,Austria,Jordan,Austria — Jordan,1–0,1,Gana Austria,0.4654101287910733,0.3218659260918742,0.2127239451170524,3–1,1,Gana Austria,True,False,,Signo acertado
21,WC-2026-061,2026-06-17,Grupos,DR Congo,Portugal,DR Congo — Portugal,0–2,2,Gana Portugal,0.0536813581704352,0.1545637066481063,0.7917549351814586,1–1,X,Empate,False,False,,Signo fallado
22,WC-2026-062,2026-06-17,Grupos,Colombia,Uzbekistan,Colombia — Uzbekistan,1–0,1,Gana Colombia,0.4912004830841826,0.3158451281800174,0.1929543887357999,3–1,1,Gana Colombia,True,False,,Signo acertado
23,WC-2026-067,2026-06-17,Grupos,England,Croatia,England — Croatia,0–0,X,Empate,0.3105174949120574,0.4062732850541579,0.2832092200337848,4–2,1,Gana England,False,False,,Signo fallado
24,WC-2026-068,2026-06-17,Grupos,Ghana,Panama,Ghana — Panama,1–0,1,Gana Ghana,0.4435529807715155,0.3149565042606231,0.2414905149678612,1–0,1,Gana Ghana,True,True,,Signo y marcador exacto
25,WC-2026-003,2026-06-18,Grupos,Czech Republic,South Africa,Czech Republic — South Africa,0–0,2,Gana South Africa,0.2675785864671516,0.3502541273498192,0.382167286183029,1–1,X,Empate,False,False,,Signo fallado
26,WC-2026-004,2026-06-18,Grupos,Mexico,South Korea,Mexico — South Korea,0–0,X,Empate,0.326464475194291,0.4071765741161569,0.266358950689552,1–0,1,Gana Mexico,False,False,,Signo fallado
27,WC-2026-009,2026-06-18,Grupos,Bosnia & Herzegovina,Switzerland,Bosnia & Herzegovina — Switzerland,0–1,2,Gana Switzerland,0.2087047953646644,0.341941849817451,0.4493533548178845,1–4,2,Gana Switzerland,True,False,,Signo acertado
28,WC-2026-010,2026-06-18,Grupos,Canada,Qatar,Canada — Qatar,0–0,X,Empate,0.3270299039187639,0.3583425969131514,0.3146274991680847,6–0,1,Gana Canada,False,False,,Signo fallado
29,WC-2026-015,2026-06-19,Grupos,Morocco,Scotland,Morocco — Scotland,0–0,2,Gana Scotland,0.189414127203072,0.364788187579285,0.4457976852176431,1–0,1,Gana Morocco,False,False,,Signo fallado
30,WC-2026-016,2026-06-19,Grupos,Brazil,Haiti,Brazil — Haiti,2–0,1,Gana Brazil,0.7573328743551756,0.1768888436687747,0.0657782819760495,3–0,1,Gana Brazil,True,False,,Signo acertado
31,WC-2026-021,2026-06-19,Grupos,United States,Australia,United States — Australia,0–0,X,Empate,0.3495583413980143,0.3867337597183903,0.2637078988835954,2–0,1,Gana United States,False,False,,Signo fallado
32,WC-2026-022,2026-06-19,Grupos,Paraguay,Turkey,Paraguay — Turkey,0–0,2,Gana Turkey,0.2974149888838194,0.3461354603244855,0.356449550791695,1–0,1,Gana Paraguay,False,False,,Signo fallado
33,WC-2026-027,2026-06-20,Grupos,Ivory Coast,Germany,Ivory Coast — Germany,0–2,2,Gana Germany,0.0399242026878372,0.1429300202811149,0.8171457770310477,1–2,2,Gana Germany,True,False,,Signo acertado
34,WC-2026-028,2026-06-20,Grupos,Curaçao,Ecuador,Curaçao — Ecuador,0–1,2,Gana Ecuador,0.074998915843373,0.2219637003331566,0.7030373838234701,0–0,X,Empate,False,False,,Signo fallado
35,WC-2026-033,2026-06-20,Grupos,Netherlands,Sweden,Netherlands — Sweden,0–0,2,Gana Sweden,0.2280571717777512,0.3739000048214724,0.3980428234007762,5–1,1,Gana Netherlands,False,False,,Signo fallado
36,WC-2026-034,2026-06-20,Grupos,Japan,Tunisia,Japan — Tunisia,0–0,X,Empate,0.2326530685204669,0.38914642299035,0.378200508489183,4–0,1,Gana Japan,False,False,,Signo fallado
37,WC-2026-039,2026-06-21,Grupos,Belgium,Iran,Belgium — Iran,0–0,1,Gana Belgium,0.4356059621229772,0.3486426806337099,0.2157513572433129,0–0,X,Empate,False,True,,Marcador exacto; signo fallado
38,WC-2026-040,2026-06-21,Grupos,Egypt,New Zealand,Egypt — New Zealand,0–0,2,Gana New Zealand,0.2234798145395477,0.3768405863261627,0.3996795991342893,3–1,1,Gana Egypt,False,False,,Signo fallado
39,WC-2026-045,2026-06-21,Grupos,Spain,Saudi Arabia,Spain — Saudi Arabia,1–0,1,Gana Spain,0.4636820940184894,0.3476252082637773,0.1886926977177332,4–0,1,Gana Spain,True,False,,Signo acertado
40,WC-2026-046,2026-06-21,Grupos,Cape Verde,Uruguay,Cape Verde — Uruguay,0–0,2,Gana Uruguay,0.1566448460762817,0.4091244255110897,0.4342307284126286,2–2,X,Empate,False,False,,Signo fallado
41,WC-2026-051,2026-06-22,Grupos,France,Iraq,France — Iraq,1–0,1,Gana France,0.6026794445610513,0.2822096173607893,0.1151109380781591,3–0,1,Gana France,True,False,,Signo acertado
42,WC-2026-052,2026-06-22,Grupos,Norway,Senegal,Norway — Senegal,0–0,X,Empate,0.279992312983887,0.4036896932414748,0.3163179937746384,3–2,1,Gana Norway,False,False,,Signo fallado
